Driver,Name,Number,Nation,Affiliation,Manufacturer,Manu Region,,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9
AMS_Redline,,24,USA,Apex Motorsports,Chevrolet,ATLANTIC,,5,6,,,,,,,
AMS_Stinky,Parker Leach,#30,USA,Apex Motorsports,Aston Martin,ATLANTIC,,3*,3*,,,,,,,
Aweoob,Pierre Menou,#91,FRA,,Chevrolet,ATLANTIC,,5,2,,,,,,,
AZR_DanielGTZ,,#11,MEX,Aztec Racing Team,Ford,ATLANTIC,,10,9,,,,,,,
AZR_Saurezl4l,,#95,MEX,Aztec Racing Team,Renault,EUROPE,,7,9,,,,,,,
AZR_vcmost01,,#02,MEX,Aztec Racing Team,Hyundai,ASIA,,11,7,,,,,,,
Barrelz32,,#420,USA,Renegade,Toyota,ASIA,,8,5+,,,,,,,
binarytheory,,#57,USA,,Ford,ATLANTIC,,6,6,,,,,,,
bizzle_5,,#71,USA,Clean n Fun Racing,Lexus,ASIA,,9,13,,,,,,,
chrystopt,,#074,PRT,,Ferrari,EUROPE,,12,10,,,,,,,
DNA_DrLoveJuice,,#69,USA,DNA Racing,Porsche,EUROPE,,6,6*,,,,,,,
DNA_Judoka,,#35,USA,DNA Racing,Chevrolet,ATLANTIC,,5,3,,,,,,,
DNA_ninety3,,#93,USA,DNA Racing,Lamborghini,EUROPE,,DNS*,1,,,,,,,
Dynamic_Carbon_,,#43,IRL,Dynamic eSports,BMW,EUROPE,,DNF,DNS*,,,,,,,
EbrahimFARacing,Ebrahim Almubarak,#66,,Fernando Alonso eSports,Toyota,ASIA,,DNS*,DNS*,,,,,,,
edincrivel,,#89,PRT,One Racing eSports,BMW,EUROPE,,8,10,,,,,,,
Er_Pachito,,#20,ITA,Dynamic eSports,Nissan,ASIA,,2,3,,,,,,,
Erckie,,#44,USA,,Ford,ATLANTIC,,4,DNS*,,,,,,,
FernandoRif,,#37,PRT,PTX Racing Team,Aston Martin,ATLANTIC,,3,2,,,,,,,
fubuki2007,,#027,GBR,Eerieissss Racing Team,Mazda,ASIA,,5,7,,,,,,,
GTMX-Billox86,,#17,MEX,Escudería GTMX,Jaguar,ATLANTIC,,DNS*,DNS*,,,,,,,
GTMX-El_Aliens87,,#33,MEX,Escudería GTMX,Audi,EUROPE,,DNQ,DNQ,,,,,,,
GTMX-JmmL,,#31,MEX,Escudería GTMX,Mclaren,EUROPE,,6,6,,,,,,,
GTMX-THANATOS,,#32,MEX,Escudería GTMX,Dodge,ATLANTIC,,DNQ,3,,,,,,,
Gunslinger_Nunu,,#99,USA,Renegade,Ford,ATLANTIC,,10,6,,,,,,,
Hunty_The_Punty,,#92,GBR,Personal Best Racing Team,Porsche,EUROPE,,7,,,,,,,,
ILR_Phantom_Zero,,#813,CAN,Independent League Racing,Nissan,ASIA,,8,13,,,,,,,
ismadelik,,#38,PRT,One Racing eSports,Chevrolet,ATLANTIC,,2,9,,,,,,,
JaG83D83,,#83,USA,Renegade,Jaguar,ATLANTIC,,9,DNF,,,,,,,
jmigueld1,,#466,PRT,One Racing eSports,Ferrari,EUROPE,,DNS,DNQ,,,,,,,
KaladinStrmbless,,#18,USA,Clean n Fun Racing,Nissan,ASIA,,DNQ*,12,,,,,,,
Kinetic-Fullness,,#923,USA,Kinetic GTS,Aston Martin,ATLANTIC,,4,4,,,,,,,
Kinetic-Neutron,,#115,USA,Kinetic GTS,Aston Martin,ATLANTIC,,2,3,,,,,,,
Kinetic-RL20-II,,#63,USA,Kinetic GTS,Porsche,EUROPE,,11,11,,,,,,,
Kinetic-Shifter,,#39,USA,Kinetic GTS,Jaguar,ATLANTIC,,9,5,,,,,,,
Kinetic-Stag-,,#8,USA,Kinetic GTS,Hyundai,ASIA,,7,11,,,,,,,
Kinetic-X11,,#114,USA,Kinetic GTS,Aston Martin,ATLANTIC,,2,4,,,,,,,
M_O_P_Racer,,#214,USA,Renegade,Lexus,ASIA,,9,8,,,,,,,
Maximus_33519,,#22,CAN,TT Racing,Jaguar,ATLANTIC,,11,7,,,,,,,
Mikhail24RD,,#199,USA,,Honda,ASIA,,12,DNS*,,,,,,,
MRmisterperson,,#202,USA,,Mazda,ASIA,,11,11,,,,,,,
NickHeathfield,Nick Heathfield,#64,GBR,Renegade,Jaguar,ATLANTIC,,6,9,,,,,,,
PaMiGo-13,,#13,PRT,One Racing eSports,Porsche,EUROPE,,8,12,,,,,,,
pmourinho,,#72,PRT,One Racing eSports,BMW,EUROPE,,4,8,,,,,,,
rafes90,,#793,PRT,PTX Racing Team,Toyota,ASIA,,8,10,,,,,,,
RR_305racing,,#47,USA,Rockafella Racing,Ford,ATLANTIC,,7*,7,,,,,,,
RR_Arrowhead,,#12,USA,Rockafella Racing,Chevrolet,ATLANTIC,,3,8,,,,,,,
RR_Gelspeed,,#666,USA,Rockafella Racing,Porsche,EUROPE,,,13,,,,,,,
RR_Gnarly,,#90,USA,Rockafella Racing,Dodge,ATLANTIC,,3,10,,,,,,,
scotty540skyline,,#540,IRL,Team LBRT,Audi,EUROPE,,10,DNS*,,,,,,,
theschledy,,#46,CAN,,audi,EUROPE,,10,8,,,,,,,
TNTR_MaxBailey,Max Bailey,#73,GBR,Tested N True Racing,BMW,EUROPE,,2,5,,,,,,,
TonyIsInSpace,,#888,USA,Dad's Daily / Renegade,Lexus,ASIA,,9,11,,,,,,,
TR_Thamaga,,#03,ZAF,,Porsche,EUROPE,,,,,,,,,,
TSF_Dawson,Andy Dawson,#111,GBR,Team Superfast,Toyota,ASIA,,DNS*,1+,,,,,,,
TSF_Tigertom,,#519,UK,Team Superfast,Mazda,ASIA,,1+,5,,,,,,,
TSF_VitmnG,,#209,GBR,Team Superfast,Lexus,ASIA,,3,4,,,,,,,
Turismo-Cooper,Will Parker,#27,USA,TurismoRacing,Mazda,ASIA,,5,2+,,,,,,,
Turismo-Deafsun,Andrew Brooks,#55,CAN,TurismoRacing,Ferrari,EUROPE,,1+,4*,,,,,,,
Turismo-DJ,,#96,USA,TurismoRacing,Toyota,ASIA,,6,5,,,,,,,
Turismo-FiveS,Nate Wilson,#5,USA,TurismoRacing,Honda,ASIA,,7,4,,,,,,,
Turismo-Lamb,Daniel Solis,#003,USA,TurismoRacing,Renault,EUROPE,,1+,2*,,,,,,,
Turismo-Limbo,Ethan Lim,#28,CAN,TurismoRacing,Porsche,EUROPE,,,,,,,,,,
vlaiv19,,#19,SRB,Renegade,BMW,EUROPE,,10,12,,,,,,,
VLX_Chewy,,#422,GBR,Virtual Life Xperience,Lexus,ASIA,,4*,1+,,,,,,,
VLX_Felix,,#94,GER,Virtual Life Xperience,Audi,EUROPE,,1+,2+,,,,,,,
VLX_JL,,#243,PRT,Virtual Life Xperience,Nissan,ASIA,,DNS*,1,,,,,,,
VLX_Nova,Ben Walker,#555,GBR,Virtual Life Xperience,Mazda,ASIA,,1+,1,,,,,,,
W1holesale,,#039,USA,Dad's Daily / Renegade,Nissan,ASIA,,DNS*,9,,,,,,,
Will_R_S,,#04,GBR,Team LBRT,Audi,EUROPE,,DNF,10,,,,,,,
Xx4d3lio-PTxX,,#80,PRT,PTX Racing Team,Hyundai,ASIA,,4,7,,,,,,,
yuma081512,,#008,MEX,Aztec Racing Team,Hyundai,ASIA,,DNF,8,,,,,,,